sample_id,genome_file,resistance_status,genes_detected
GCF_058182415.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_058182415.1/GCF_058182415.1_LaCa_18_v1_genomic.fna,SUSCEPTIBLE,
GCF_046741775.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_046741775.1/GCF_046741775.1_ASM4674177v1_genomic.fna,SUSCEPTIBLE,
GCF_012974825.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_012974825.1/GCF_012974825.1_ASM1297482v1_genomic.fna,SUSCEPTIBLE,
GCF_046742155.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_046742155.1/GCF_046742155.1_ASM4674215v1_genomic.fna,SUSCEPTIBLE,
GCF_014334535.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_014334535.1/GCF_014334535.1_ASM1433453v1_genomic.fna,SUSCEPTIBLE,
GCF_025559005.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_025559005.1/GCF_025559005.1_ASM2555900v1_genomic.fna,SUSCEPTIBLE,
GCF_001018655.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_001018655.2/GCF_001018655.2_ASM101865v2_genomic.fna,SUSCEPTIBLE,
GCF_034028795.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_034028795.1/GCF_034028795.1_ASM3402879v1_genomic.fna,SUSCEPTIBLE,
GCF_022406795.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_022406795.1/GCF_022406795.1_ASM2240679v1_genomic.fna,SUSCEPTIBLE,
GCF_001019255.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_001019255.2/GCF_001019255.2_ASM101925v2_genomic.fna,RESISTANT,mecA
GCF_036961545.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_036961545.2/GCF_036961545.2_BSN65_Closure_genomic.fna,RESISTANT,mecA
GCF_024741375.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_024741375.1/GCF_024741375.1_ASM2474137v1_genomic.fna,SUSCEPTIBLE,
GCF_017328725.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017328725.1/GCF_017328725.1_ASM1732872v1_genomic.fna,SUSCEPTIBLE,
GCF_026547035.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_026547035.1/GCF_026547035.1_ASM2654703v1_genomic.fna,RESISTANT,mecA
GCF_058182255.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_058182255.1/GCF_058182255.1_LaCa_37_v1_genomic.fna,SUSCEPTIBLE,
GCF_038096245.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_038096245.1/GCF_038096245.1_BSN151_genomic.fna,SUSCEPTIBLE,
GCF_057652855.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057652855.1/GCF_057652855.1_ASM5765285v1_genomic.fna,SUSCEPTIBLE,
GCF_030533585.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030533585.1/GCF_030533585.1_ASM3053358v1_genomic.fna,RESISTANT,mecA
GCF_029961825.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_029961825.1/GCF_029961825.1_ASM2996182v1_genomic.fna,RESISTANT,mecA
GCF_026625485.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_026625485.1/GCF_026625485.1_ASM2662548v1_genomic.fna,SUSCEPTIBLE,
GCF_021390135.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_021390135.1/GCF_021390135.1_ASM2139013v1_genomic.fna,SUSCEPTIBLE,
GCF_017088385.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017088385.1/GCF_017088385.1_ASM1708838v1_genomic.fna,RESISTANT,mecA
GCF_006094915.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_006094915.1/GCF_006094915.1_ASM609491v1_genomic.fna,SUSCEPTIBLE,
GCF_047801985.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_047801985.1/GCF_047801985.1_AG21-0607_Closure_genomic.fna,RESISTANT,mecA
GCF_001018835.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_001018835.2/GCF_001018835.2_ASM101883v2_genomic.fna,RESISTANT,mecA
GCF_017328765.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_017328765.1/GCF_017328765.1_ASM1732876v1_genomic.fna,SUSCEPTIBLE,
GCF_009912015.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912015.1/GCF_009912015.1_ASM991201v1_genomic.fna,SUSCEPTIBLE,
GCF_050882175.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050882175.1/GCF_050882175.1_ASM5088217v1_genomic.fna,SUSCEPTIBLE,
GCF_020388715.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020388715.1/GCF_020388715.1_ASM2038871v1_genomic.fna,SUSCEPTIBLE,
GCF_013363895.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_013363895.1/GCF_013363895.1_ASM1336389v1_genomic.fna,SUSCEPTIBLE,
GCF_020389445.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020389445.1/GCF_020389445.1_ASM2038944v1_genomic.fna,SUSCEPTIBLE,
GCF_057653735.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057653735.1/GCF_057653735.1_ASM5765373v1_genomic.fna,SUSCEPTIBLE,
GCF_019395225.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_019395225.1/GCF_019395225.1_ASM1939522v1_genomic.fna,RESISTANT,mecA
GCF_030644105.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030644105.1/GCF_030644105.1_ASM3064410v1_genomic.fna,SUSCEPTIBLE,
GCF_050780085.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050780085.1/GCF_050780085.1_ASM5078008v1_genomic.fna,RESISTANT,mecA
GCF_001019205.2,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_001019205.2/GCF_001019205.2_ASM101920v2_genomic.fna,RESISTANT,mecA
